;$FILEVERSION=1.1
;$STARTTIME=45097.6507000694
;
;   C:\Users\LISA\AppData\Local\Temp\PLIN-ViewPro\Traces\2023-06-20 15-37-00Z\Untitled.ltrc
;
;   Start time: 2023-06-20 15:37:00.486
;   
;   Direction description:
;   ~~~~~~~~~~~~~~~~~~
;     Pub   = Publisher Frame
;     Sub   = Subscriber Frame
;     SubAL = Subscriber Auto Length Frame
;   
;   Checksum Type description:
;   ~~~~~~~~~~~~~~~~~~
;     CL = Classic
;     EH = Enhanced
;     AU = Auto
;   
;   Error Code description:
;   ~~~~~~~~~~~~~~~~~~
;     CK = Checksum Error
;     GS = GroundShort Error
;     P0 = IdParityBit0 Error
;     P1 = IdParityBit1 Error
;     IS = InconsistentSynch Error
;     SR = SlaveNOtResponding Error
;     SD = SlotDelay Error
;     TO = Timeout Error
;     VS = VBatShort Error
;   
;   Columns decription:
;   ~~~~~~~~~~~~~~~~~~~~
;   +Frame Number
;   |           +Timestamp (microseconds)
;   |           |           +Direction
;   |           |           |    +Frame-ID (hex)
;   |           |           |    |   +Frame Length
;   |           |           |    |   |   +Data bytes (hex)
    89)          2333044  SubAL  08  5  08 03 01 08 08           DB  EH 
    90)          2393049  SubAL  03  2  00 FF                    FC  EH 
    91)          2403089  SubAL  08  5  07 03 01 02 07           E3  EH 
    92)          2463052  SubAL  00  2  03 FF                    7C  EH 
    93)          2473050  SubAL  01  2  03 FF                    3B  EH 
    94)          2483094  SubAL  02  2  03 FF                    BA  EH 
    95)          2493048  SubAL  08  5  0E 03 01 04 0E           D3  EH 
    96)          2553055  SubAL  01  2  03 FF                    3B  EH 
    97)          2563056  SubAL  02  2  00 FF                    BD  EH 
    98)          2573049  SubAL  03  2  00 FF                    FC  EH 
    99)          2583061  SubAL  08  5  01 03 01 01 01           F0  EH 
   100)          2643385  SubAL  00  2  00 FF                    7F  EH 
   101)          2653383  SubAL  08  5  08 03 01 08 08           DB  EH 
   102)          2713385  SubAL  03  2  00 FF                    FC  EH 
   103)          2723388  SubAL  08  5  07 03 01 02 07           E3  EH 
   104)          2783392  SubAL  00  2  03 FF                    7C  EH 
   105)          2793385  SubAL  01  2  03 FF                    3B  EH 
   106)          2803426  SubAL  02  2  00 FF                    BD  EH 
   107)          2813383  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   108)          2873387  SubAL  01  2  03 FF                    3B  EH 
   109)          2883395  SubAL  02  2  03 FF                    BA  EH 
   110)          2893398  SubAL  03  2  00 FF                    FC  EH 
   111)          2903393  SubAL  08  5  01 03 01 01 01           F0  EH 
   112)          2963392  SubAL  00  2  00 FF                    7F  EH 
   113)          2973386  SubAL  08  5  08 03 01 08 08           DB  EH 
   114)          3033391  SubAL  03  2  00 FF                    FC  EH 
   115)          3043392  SubAL  08  5  07 03 01 02 07           E3  EH 
   116)          3103395  SubAL  00  2  00 FF                    7F  EH 
   117)          3113395  SubAL  01  2  03 FF                    3B  EH 
   118)          3123396  SubAL  02  2  03 FF                    BA  EH 
   119)          3133390  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   120)          3193393  SubAL  01  2  03 FF                    3B  EH 
   121)          3203398  SubAL  02  2  03 FF                    BA  EH 
   122)          3213391  SubAL  03  2  00 FF                    FC  EH 
   123)          3223399  SubAL  08  5  01 03 01 01 01           F0  EH 
   124)          3283439  SubAL  00  2  00 FF                    7F  EH 
   125)          3293393  SubAL  08  5  08 03 01 08 08           DB  EH 
   126)          3353401  SubAL  03  2  00 FF                    FC  EH 
   127)          3363420  SubAL  08  5  07 03 01 02 07           E3  EH 
   128)          3423401  SubAL  00  2  00 FF                    7F  EH 
   129)          3433398  SubAL  01  2  03 FF                    3B  EH 
   130)          3443432  SubAL  02  2  03 FF                    BA  EH 
   131)          3453400  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   132)          3513400  SubAL  01  2  03 FF                    3B  EH 
   133)          3523413  SubAL  02  2  00 FF                    BD  EH 
   134)          3533398  SubAL  03  2  00 FF                    FC  EH 
   135)          3543406  SubAL  08  5  01 03 01 01 01           F0  EH 
   136)          3603405  SubAL  00  2  00 FF                    7F  EH 
   137)          3613399  SubAL  08  5  08 03 01 08 08           DB  EH 
   138)          3672968  SubAL  03  2  00 FF                    FC  EH 
   139)          3682976  SubAL  08  5  07 03 01 02 07           E3  EH 
   140)          3742984  SubAL  00  2  00 FF                    7F  EH 
   141)          3752972  SubAL  01  2  00 FF                    3E  EH 
   142)          3762973  SubAL  02  2  03 FF                    BA  EH 
   143)          3772967  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   144)          3832971  SubAL  01  2  03 FF                    3B  EH 
   145)          3842975  SubAL  02  2  00 FF                    BD  EH 
   146)          3852972  SubAL  03  2  00 FF                    FC  EH 
   147)          3862992  SubAL  08  5  01 03 01 01 01           F0  EH 
   148)          3922975  SubAL  00  2  00 FF                    7F  EH 
   149)          3932970  SubAL  08  5  08 03 01 08 08           DB  EH 
   150)          3992975  SubAL  03  2  00 FF                    FC  EH 
   151)          4002979  SubAL  08  5  07 03 01 02 07           E3  EH 
   152)          4063020  SubAL  00  2  03 FF                    7C  EH 
   153)          4072975  SubAL  01  2  00 FF                    3E  EH 
   154)          4082983  SubAL  02  2  03 FF                    BA  EH 
   155)          4092973  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   156)          4152977  SubAL  01  2  03 FF                    3B  EH 
   157)          4162981  SubAL  02  2  03 FF                    BA  EH 
   158)          4172975  SubAL  03  2  00 FF                    FC  EH 
   159)          4182986  SubAL  08  5  01 03 01 01 01           F0  EH 
   160)          4242992  SubAL  00  2  00 FF                    7F  EH 
   161)          4252980  SubAL  08  5  08 03 01 08 08           DB  EH 
   162)          4312981  SubAL  03  2  00 FF                    FC  EH 
   163)          4322985  SubAL  08  5  07 03 01 02 07           E3  EH 
   164)          4382989  SubAL  00  2  03 FF                    7C  EH 
   165)          4392982  SubAL  01  2  03 FF                    3B  EH 
   166)          4402986  SubAL  02  2  03 FF                    BA  EH 
   167)          4412980  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   168)          4472984  SubAL  01  2  03 FF                    3B  EH 
   169)          4482991  SubAL  02  2  03 FF                    BA  EH 
   170)          4492981  SubAL  03  2  00 FF                    FC  EH 
   171)          4502989  SubAL  08  5  01 03 01 01 01           F0  EH 
   172)          4562988  SubAL  00  2  00 FF                    7F  EH 
   173)          4572983  SubAL  08  5  08 03 01 08 08           DB  EH 
   174)          4632942  SubAL  03  2  00 FF                    FC  EH 
   175)          4642946  SubAL  08  5  07 03 01 02 07           E3  EH 
   176)          4702945  SubAL  00  2  00 FF                    7F  EH 
   177)          4712942  SubAL  01  2  03 FF                    3B  EH 
   178)          4722947  SubAL  02  2  03 FF                    BA  EH 
   179)          4732948  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   180)          4792980  SubAL  01  2  03 FF                    3B  EH 
   181)          4802949  SubAL  02  2  00 FF                    BD  EH 
   182)          4812942  SubAL  03  2  00 FF                    FC  EH 
   183)          4822950  SubAL  08  5  01 03 01 01 01           F0  EH 
   184)          4882953  SubAL  00  2  00 FF                    7F  EH 
   185)          4892944  SubAL  08  5  08 03 01 08 08           DB  EH 
   186)          4952952  SubAL  03  2  00 FF                    FC  EH 
   187)          4962968  SubAL  08  5  07 03 01 02 07           E3  EH 
   188)          5022952  SubAL  00  2  03 FF                    7C  EH 
   189)          5032949  SubAL  01  2  03 FF                    3B  EH 
   190)          5042953  SubAL  02  2  00 FF                    BD  EH 
   191)          5052950  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   192)          5112951  SubAL  01  2  03 FF                    3B  EH 
   193)          5122955  SubAL  02  2  01 FF                    BC  EH 
   194)          5132949  SubAL  03  2  00 FF                    FC  EH 
   195)          5142957  SubAL  08  5  01 03 01 01 01           F0  EH 
   196)          5202956  SubAL  00  2  00 FF                    7F  EH 
   197)          5212950  SubAL  08  5  08 03 01 08 08           DB  EH 
   198)          5272991  SubAL  03  2  00 FF                    FC  EH 
   199)          5282962  SubAL  08  5  07 03 01 02 07           E3  EH 
   200)          5342958  SubAL  00  2  00 FF                    7F  EH 
   201)          5352959  SubAL  01  2  00 FF                    3E  EH 
   202)          5362996  SubAL  02  2  00 FF                    BD  EH 
   203)          5372953  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   204)          5432957  SubAL  01  2  03 FF                    3B  EH 
   205)          5442962  SubAL  02  2  00 FF                    BD  EH 
   206)          5452978  SubAL  03  2  00 FF                    FC  EH 
   207)          5462963  SubAL  08  5  01 03 01 01 01           F0  EH 
   208)          5522962  SubAL  00  2  00 FF                    7F  EH 
   209)          5532957  SubAL  08  5  08 03 01 08 08           DB  EH 
   210)          5592962  SubAL  03  2  00 FF                    FC  EH 
   211)          5602965  SubAL  08  5  07 03 01 02 07           E3  EH 
   212)          5663039  SubAL  00  2  03 FF                    7C  EH 
   213)          5673072  SubAL  01  2  00 FF                    3E  EH 
   214)          5683044  SubAL  02  2  00 FF                    BD  EH 
   215)          5693034  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   216)          5753041  SubAL  01  2  03 FF                    3B  EH 
   217)          5763042  SubAL  02  2  00 FF                    BD  EH 
   218)          5773036  SubAL  03  2  00 FF                    FC  EH 
   219)          5783047  SubAL  08  5  01 03 01 01 01           F0  EH 
   220)          5843043  SubAL  00  2  00 FF                    7F  EH 
   221)          5853058  SubAL  08  5  08 03 01 08 08           DB  EH 
   222)          5913042  SubAL  03  2  00 FF                    FC  EH 
   223)          5923046  SubAL  08  5  07 03 01 02 07           E3  EH 
   224)          5983049  SubAL  00  2  00 FF                    7F  EH 
   225)          5993043  SubAL  01  2  03 FF                    3B  EH 
   226)          6003047  SubAL  02  2  00 FF                    BD  EH 
   227)          6013041  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   228)          6073044  SubAL  01  2  00 FF                    3E  EH 
   229)          6083052  SubAL  02  2  03 FF                    BA  EH 
   230)          6093042  SubAL  03  2  00 FF                    FC  EH 
   231)          6103050  SubAL  08  5  01 03 01 01 01           F0  EH 
   232)          6163065  SubAL  00  2  00 FF                    7F  EH 
   233)          6173044  SubAL  08  5  08 03 01 08 08           DB  EH 
   234)          6233049  SubAL  03  2  00 FF                    FC  EH 
   235)          6243053  SubAL  08  5  07 03 01 02 07           E3  EH 
   236)          6303052  SubAL  00  2  03 FF                    7C  EH 
   237)          6313049  SubAL  01  2  00 FF                    3E  EH 
   238)          6323054  SubAL  02  2  03 FF                    BA  EH 
   239)          6333047  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   240)          6393051  SubAL  01  2  00 FF                    3E  EH 
   241)          6403055  SubAL  02  2  00 FF                    BD  EH 
   242)          6413049  SubAL  03  2  00 FF                    FC  EH 
   243)          6423057  SubAL  08  5  01 03 01 01 01           F0  EH 
   244)          6483059  SubAL  00  2  00 FF                    7F  EH 
   245)          6493050  SubAL  08  5  08 03 01 08 08           DB  EH 
   246)          6553059  SubAL  03  2  00 FF                    FC  EH 
   247)          6563064  SubAL  08  5  07 03 01 02 07           E3  EH 
   248)          6623070  SubAL  00  2  03 FF                    7C  EH 
   249)          6633067  SubAL  01  2  03 FF                    3B  EH 
   250)          6643071  SubAL  02  2  03 FF                    BA  EH 
   251)          6653068  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   252)          6713068  SubAL  01  2  00 FF                    3E  EH 
   253)          6723073  SubAL  02  2  00 FF                    BD  EH 
   254)          6733074  SubAL  03  2  03 FF                    F9  EH 
   255)          6743074  SubAL  08  5  01 03 01 01 01           F0  EH 
   256)          6803091  SubAL  00  2  00 FF                    7F  EH 
   257)          6813068  SubAL  08  5  08 03 01 08 08           DB  EH 
   258)          6873073  SubAL  03  2  00 FF                    FC  EH 
   259)          6883080  SubAL  08  5  07 03 01 02 07           E3  EH 
   260)          6943076  SubAL  00  2  03 FF                    7C  EH 
   261)          6953077  SubAL  01  2  00 FF                    3E  EH 
   262)          6963111  SubAL  02  2  03 FF                    BA  EH 
   263)          6973071  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   264)          7033075  SubAL  01  2  00 FF                    3E  EH 
   265)          7043079  SubAL  02  2  03 FF                    BA  EH 
   266)          7053076  SubAL  03  2  00 FF                    FC  EH 
   267)          7063081  SubAL  08  5  01 03 01 01 01           F0  EH 
   268)          7123080  SubAL  00  2  00 FF                    7F  EH 
   269)          7133074  SubAL  08  5  08 03 01 08 08           DB  EH 
   270)          7193079  SubAL  03  2  00 FF                    FC  EH 
   271)          7203083  SubAL  08  5  07 03 01 02 07           E3  EH 
   272)          7263083  SubAL  00  2  03 FF                    7C  EH 
   273)          7273080  SubAL  01  2  03 FF                    3B  EH 
   274)          7283088  SubAL  02  2  00 FF                    BD  EH 
   275)          7293078  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   276)          7353085  SubAL  01  2  00 FF                    3E  EH 
   277)          7363086  SubAL  02  2  03 FF                    BA  EH 
   278)          7373079  SubAL  03  2  00 FF                    FC  EH 
   279)          7383091  SubAL  08  5  01 03 01 01 01           F0  EH 
   280)          7443086  SubAL  00  2  00 FF                    7F  EH 
   281)          7453085  SubAL  08  5  08 03 01 08 08           DB  EH 
   282)          7513086  SubAL  03  2  00 FF                    FC  EH 
   283)          7523090  SubAL  08  5  07 03 01 02 07           E3  EH 
   284)          7583093  SubAL  00  2  03 FF                    7C  EH 
   285)          7593086  SubAL  01  2  03 FF                    3B  EH 
   286)          7603091  SubAL  02  2  03 FF                    BA  EH 
   287)          7613084  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   288)          7673055  SubAL  01  2  00 FF                    3E  EH 
   289)          7683063  SubAL  02  2  00 FF                    BD  EH 
   290)          7693053  SubAL  03  2  00 FF                    FC  EH 
   291)          7703061  SubAL  08  5  01 03 01 01 01           F0  EH 
   292)          7763061  SubAL  00  2  00 FF                    7F  EH 
   293)          7773055  SubAL  08  5  08 03 01 08 08           DB  EH 
   294)          7993063  SubAL  01  2  00 FF                    3E  EH 
   295)          8003066  SubAL  02  2  03 FF                    BA  EH 
   296)          8013060  SubAL  03  2  00 FF                    FC  EH 
   297)          8023067  SubAL  08  5  01 03 01 01 01           F0  EH 
   298)          8083070  SubAL  00  2  00 FF                    7F  EH 
   299)          8093061  SubAL  08  5  08 03 01 08 08           DB  EH 
   300)          8153070  SubAL  03  2  00 FF                    FC  EH 
   301)          8163070  SubAL  08  5  07 03 01 02 07           E3  EH 
   302)          8223069  SubAL  00  2  00 FF                    7F  EH 
   303)          8233103  SubAL  01  2  03 FF                    3B  EH 
   304)          8243071  SubAL  02  2  03 FF                    BA  EH 
   305)          8253084  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   306)          8313068  SubAL  01  2  00 FF                    3E  EH 
   307)          8323073  SubAL  02  2  00 FF                    BD  EH 
   308)          8333066  SubAL  03  2  00 FF                    FC  EH 
   309)          8343074  SubAL  08  5  01 03 01 01 01           F0  EH 
   310)          8403073  SubAL  00  2  00 FF                    7F  EH 
   311)          8413068  SubAL  08  5  08 03 01 08 08           DB  EH 
   312)          8473072  SubAL  03  2  00 FF                    FC  EH 
   313)          8483080  SubAL  08  5  07 03 01 02 07           E3  EH 
   314)          8543076  SubAL  00  2  00 FF                    7F  EH 
   315)          8553077  SubAL  01  2  03 FF                    3B  EH 
   316)          8563077  SubAL  02  2  00 FF                    BD  EH 
   317)          8573071  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   318)          8633078  SubAL  01  2  03 FF                    3B  EH 
   319)          8643082  SubAL  02  2  01 FF                    BC  EH 
   320)          8653095  SubAL  03  2  00 FF                    FC  EH 
   321)          8663084  SubAL  08  5  01 03 01 01 01           F0  EH 
   322)          8723083  SubAL  00  2  00 FF                    7F  EH 
   323)          8733084  SubAL  08  5  08 03 01 08 08           DB  EH 
   324)          8793082  SubAL  03  2  00 FF                    FC  EH 
   325)          8803086  SubAL  08  5  07 03 01 02 07           E3  EH 
   326)          8863085  SubAL  00  2  00 FF                    7F  EH 
   327)          8873083  SubAL  01  2  03 FF                    3B  EH 
   328)          8883091  SubAL  02  2  00 FF                    BD  EH 
   329)          8893081  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   330)          8953088  SubAL  01  2  00 FF                    3E  EH 
   331)          8963094  SubAL  02  2  01 FF                    BC  EH 
   332)          8973082  SubAL  03  2  00 FF                    FC  EH 
   333)          8983094  SubAL  08  5  01 03 01 01 01           F0  EH 
   334)          9043089  SubAL  00  2  00 FF                    7F  EH 
   335)          9053104  SubAL  08  5  08 03 01 08 08           DB  EH 
   336)          9113089  SubAL  03  2  00 FF                    FC  EH 
   337)          9123093  SubAL  08  5  07 03 01 02 07           E3  EH 
   338)          9183096  SubAL  00  2  03 FF                    7C  EH 
   339)          9193089  SubAL  01  2  03 FF                    3B  EH 
   340)          9203094  SubAL  02  2  00 FF                    BD  EH 
   341)          9213087  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   342)          9273091  SubAL  01  2  01 FF                    3D  EH 
   343)          9283099  SubAL  02  2  01 FF                    BC  EH 
   344)          9293089  SubAL  03  2  00 FF                    FC  EH 
   345)          9303097  SubAL  08  5  01 03 01 01 01           F0  EH 
   346)          9363096  SubAL  00  2  00 FF                    7F  EH 
   347)          9373090  SubAL  08  5  08 03 01 08 08           DB  EH 
   348)          9433095  SubAL  03  2  00 FF                    FC  EH 
   349)          9443099  SubAL  08  5  07 03 01 02 07           E3  EH 
   350)          9503099  SubAL  00  2  00 FF                    7F  EH 
   351)          9513096  SubAL  01  2  03 FF                    3B  EH 
   352)          9523100  SubAL  02  2  00 FF                    BD  EH 
   353)          9533094  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   354)          9593097  SubAL  01  2  00 FF                    3E  EH 
   355)          9603102  SubAL  02  2  01 FF                    BC  EH 
   356)          9613095  SubAL  03  2  00 FF                    FC  EH 
   357)          9623162  SubAL  08  5  01 03 01 01 01           F0  EH 
   358)          9683165  SubAL  00  2  00 FF                    7F  EH 
   359)          9693156  SubAL  08  5  08 03 01 08 08           DB  EH 
   360)          9753164  SubAL  03  2  00 FF                    FC  EH 
   361)          9763165  SubAL  08  5  07 03 01 02 07           E3  EH 
   362)          9823164  SubAL  00  2  00 FF                    7F  EH 
   363)          9833161  SubAL  01  2  00 FF                    3E  EH 
   364)          9843197  SubAL  02  2  01 FF                    BC  EH 
   365)          9853159  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   366)          9913163  SubAL  01  2  00 FF                    3E  EH 
   367)          9923167  SubAL  02  2  00 FF                    BD  EH 
   368)          9933161  SubAL  03  2  00 FF                    FC  EH 
   369)          9943169  SubAL  08  5  01 03 01 01 01           F0  EH 
   370)         10003168  SubAL  00  2  00 FF                    7F  EH 
   371)         10013163  SubAL  08  5  08 03 01 08 08           DB  EH 
   372)         10073167  SubAL  03  2  00 FF                    FC  EH 
   373)         10083175  SubAL  08  5  07 03 01 02 07           E3  EH 
   374)         10143171  SubAL  00  2  00 FF                    7F  EH 
   375)         10153171  SubAL  01  2  03 FF                    3B  EH 
   376)         10163172  SubAL  02  2  00 FF                    BD  EH 
   377)         10173166  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   378)         10233170  SubAL  01  2  00 FF                    3E  EH 
   379)         10243174  SubAL  02  2  00 FF                    BD  EH 
   380)         10253185  SubAL  03  2  00 FF                    FC  EH 
   381)         10263175  SubAL  08  5  01 03 01 01 01           F0  EH 
   382)         10323174  SubAL  00  2  00 FF                    7F  EH 
   383)         10333169  SubAL  08  5  08 03 01 08 08           DB  EH 
   384)         10393174  SubAL  03  2  00 FF                    FC  EH 
   385)         10403178  SubAL  08  5  07 03 01 02 07           E3  EH 
   386)         10463177  SubAL  00  2  00 FF                    7F  EH 
   387)         10473174  SubAL  01  2  00 FF                    3E  EH 
   388)         10483182  SubAL  02  2  03 FF                    BA  EH 
   389)         10493172  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   390)         10553180  SubAL  01  2  01 FF                    3D  EH 
   391)         10563197  SubAL  02  2  01 FF                    BC  EH 
   392)         10573174  SubAL  03  2  00 FF                    FC  EH 
   393)         10583185  SubAL  08  5  01 03 01 01 01           F0  EH 
   394)         10643179  SubAL  00  2  00 FF                    7F  EH 
   395)         10653177  SubAL  08  5  08 03 01 08 08           DB  EH 
   396)         10713178  SubAL  03  2  00 FF                    FC  EH 
   397)         10723182  SubAL  08  5  07 03 01 02 07           E3  EH 
   398)         10783186  SubAL  00  2  00 FF                    7F  EH 
   399)         10793179  SubAL  01  2  00 FF                    3E  EH 
   400)         10803183  SubAL  02  2  03 FF                    BA  EH 
   401)         10813177  SubAL  08  5  0E 03 01 04 0E           D3  EH 
   402)         10873181  SubAL  01  1  00                       FF  CL 
   403)         11223194  SubAL  08  5  01 03 01 01 01           F0  EH 
   404)         11283196  SubAL  00  2  00 FF                    7F  EH 
